ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0048680	positive regulation of axon regeneration	2/47	12/18614	0.000405268419256854	0.00306218814464746	0.00151199405122429	PTN/IGF1R	2
BP	GO:0051549	positive regulation of keratinocyte migration	2/47	12/18614	0.000405268419256854	0.00306218814464746	0.00151199405122429	FGF7/HBEGF	2
BP	GO:0051798	positive regulation of hair follicle development	2/47	12/18614	0.000405268419256854	0.00306218814464746	0.00151199405122429	WNT5A/GAL	2
BP	GO:0060442	branching involved in prostate gland morphogenesis	2/47	12/18614	0.000405268419256854	0.00306218814464746	0.00151199405122429	FGFR2/BMP4	2
BP	GO:0001649	osteoblast differentiation	5/47	250/18614	0.000406448448996096	0.00306218814464746	0.00151199405122429	IFITM1/FGFR2/BMP4/VEGFC/PENK	5
BP	GO:0034101	erythrocyte homeostasis	4/47	139/18614	0.000414017637196016	0.00310864090301415	0.00153493068705321	INHBA/TGFBR3/BMP4/HMOX1	4
BP	GO:2000146	negative regulation of cell motility	6/47	390/18614	0.000422927266553105	0.00316481045748354	0.00156266511361549	IFITM1/SLIT2/C5/CX3CL1/BMP4/HMOX1	6
BP	GO:0048762	mesenchymal cell differentiation	5/47	255/18614	0.00044491263801542	0.00331811950573789	0.00163836339145143	FGFR2/MDK/WNT5A/TGFBR3/BMP4	5
BP	GO:0050867	positive regulation of cell activation	6/47	394/18614	0.000446414321170575	0.0033181467160833	0.00163837682690296	MDK/WNT5A/MAP3K8/CD40LG/TNFSF4/VCAM1	6
BP	GO:0001889	liver development	4/47	142/18614	0.000448866135079881	0.00332521233846802	0.00164186556714662	PTN/MDK/TGFBR3/HMOX1	4
BP	GO:0003179	heart valve morphogenesis	3/47	60/18614	0.000466724659616952	0.00343453528588554	0.00169584515244628	ELN/SLIT2/BMP4	3
BP	GO:0055008	cardiac muscle tissue morphogenesis	3/47	60/18614	0.000466724659616952	0.00343453528588554	0.00169584515244628	FGFR2/WNT5A/TGFBR3	3
BP	GO:0045741	positive regulation of epidermal growth factor-activated receptor activity	2/47	13/18614	0.000478182829290515	0.00348412818052135	0.00172033227019683	EREG/HBEGF	2
BP	GO:0070243	regulation of thymocyte apoptotic process	2/47	13/18614	0.000478182829290515	0.00348412818052135	0.00172033227019683	WNT5A/BMP4	2
BP	GO:0070572	positive regulation of neuron projection regeneration	2/47	13/18614	0.000478182829290515	0.00348412818052135	0.00172033227019683	PTN/IGF1R	2
BP	GO:0061008	hepaticobiliary system development	4/47	145/18614	0.000485761143309678	0.00352774076206864	0.00174186653286887	PTN/MDK/TGFBR3/HMOX1	4
BP	GO:0002443	leukocyte mediated immunity	6/47	401/18614	0.00048996335290934	0.00354663015259539	0.00175119340788718	IL1R1/C5/CD40LG/TNFSF4/HMOX1/PTGDS	6
BP	GO:0072073	kidney epithelium development	4/47	146/18614	0.000498525979089917	0.00359685681981813	0.00177599345885282	FGFR2/SLIT2/BMP4/CRLF1	4
BP	GO:0045667	regulation of osteoblast differentiation	4/47	147/18614	0.000511528264082076	0.00367868540565519	0.00181639735605358	IFITM1/FGFR2/BMP4/VEGFC	4
BP	GO:0032757	positive regulation of interleukin-8 production	3/47	63/18614	0.000538753005469556	0.00384947711972602	0.00190072792082468	WNT5A/TLR1/CD14	3
BP	GO:0060393	regulation of pathway-restricted SMAD protein phosphorylation	3/47	63/18614	0.000538753005469556	0.00384947711972602	0.00190072792082468	INHBA/BMP4/MSTN	3
BP	GO:0050930	induction of positive chemotaxis	2/47	14/18614	0.000556982344117676	0.00393487305089323	0.00194289323981374	NTF3/VEGFC	2
BP	GO:0051547	regulation of keratinocyte migration	2/47	14/18614	0.000556982344117676	0.00393487305089323	0.00194289323981374	FGF7/HBEGF	2
BP	GO:0072672	neutrophil extravasation	2/47	14/18614	0.000556982344117676	0.00393487305089323	0.00194289323981374	IL1R1/MDK	2
BP	GO:0070663	regulation of leukocyte proliferation	5/47	268/18614	0.000557810446040846	0.00393487305089323	0.00194289323981374	GAL/BMP4/CD40LG/TNFSF4/VCAM1	5
BP	GO:0032615	interleukin-12 production	3/47	64/18614	0.000564251446134924	0.00395511694047107	0.00195288891583673	MDK/CD40LG/TNFSF4	3
BP	GO:0032655	regulation of interleukin-12 production	3/47	64/18614	0.000564251446134924	0.00395511694047107	0.00195288891583673	MDK/CD40LG/TNFSF4	3
BP	GO:0050727	regulation of inflammatory response	6/47	414/18614	0.000579598042124491	0.00404126015134648	0.00199542321361483	TEK/IL1R1/MDK/WNT5A/CX3CL1/TNFSF4	6
BP	GO:0016331	morphogenesis of embryonic epithelium	4/47	152/18614	0.000580189944978863	0.00404126015134648	0.00199542321361483	FGFR2/WNT5A/BMP4/VEGFC	4
BP	GO:0007159	leukocyte cell-cell adhesion	6/47	415/18614	0.000586988521569671	0.00407579804162013	0.00201247673291829	MDK/MAP3K8/BMP4/CD40LG/TNFSF4/VCAM1	6
BP	GO:0007292	female gamete generation	4/47	153/18614	0.000594670084826607	0.00411623199340917	0.00203244150702252	PTN/INHBA/MDK/EREG	4
BP	GO:1903039	positive regulation of leukocyte cell-cell adhesion	5/47	273/18614	0.000606528045339127	0.00418523246238681	0.00206651135959125	MDK/MAP3K8/CD40LG/TNFSF4/VCAM1	5
BP	GO:0050729	positive regulation of inflammatory response	4/47	154/18614	0.000609405425275664	0.00419202800306086	0.00206986674358096	MDK/WNT5A/CX3CL1/TNFSF4	4
BP	GO:0001655	urogenital system development	3/47	66/18614	0.000617537862416236	0.00423481846827233	0.0020909950759344	FGFR2/WNT5A/BMP4	3
BP	GO:0061448	connective tissue development	5/47	275/18614	0.00062688536679222	0.00428565150445916	0.0021160945292304	BMP1/MDK/WNT5A/BMP4/FGFR3	5
BP	GO:0007584	response to nutrient	4/47	156/18614	0.000639651905381465	0.00430675237380111	0.0021265133498298	IGF1R/HMOX1/VCAM1/PENK	4
BP	GO:2001236	regulation of extrinsic apoptotic signaling pathway	4/47	156/18614	0.000639651905381465	0.00430675237380111	0.0021265133498298	INHBA/CX3CL1/BMP4/HMOX1	4
BP	GO:0030098	lymphocyte differentiation	6/47	422/18614	0.000640801953023986	0.00430675237380111	0.0021265133498298	INHBA/MDK/BMP4/CD40LG/TNFSF4/VCAM1	6
BP	GO:0010838	positive regulation of keratinocyte proliferation	2/47	15/18614	0.000641638051175787	0.00430675237380111	0.0021265133498298	FGF7/MDK	2
BP	GO:0048820	hair follicle maturation	2/47	15/18614	0.000641638051175787	0.00430675237380111	0.0021265133498298	WNT5A/GAL	2
BP	GO:0060347	heart trabecula formation	2/47	15/18614	0.000641638051175787	0.00430675237380111	0.0021265133498298	TEK/TGFBR3	2
BP	GO:0060537	muscle tissue development	6/47	426/18614	0.000673231793388694	0.00449630459307274	0.00222010715086257	ELN/FGFR2/WNT5A/TGFBR3/BMP4/MSTN	6
BP	GO:0048645	animal organ formation	3/47	68/18614	0.000673938205372527	0.00449630459307274	0.00222010715086257	FGFR2/WNT5A/BMP4	3
BP	GO:0043434	response to peptide hormone	6/47	427/18614	0.000681535247952078	0.00453333505769925	0.00223839141021719	INHBA/GAL/EREG/TGFBR3/IGF1R/MSTN	6
BP	GO:0014015	positive regulation of gliogenesis	3/47	69/18614	0.000703328758631168	0.00466429101906598	0.00230305256923348	PTN/MDK/VEGFC	3
BP	GO:0007548	sex differentiation	5/47	283/18614	0.000713491489290119	0.00471756313067944	0.00232935634681047	PDGFA/INHBA/SLIT2/WNT5A/EREG	5
BP	GO:0035051	cardiocyte differentiation	4/47	161/18614	0.000719912849179652	0.00474585405039563	0.00234332534554404	INHBA/TGFBR3/BMP4/VCAM1	4
BP	GO:2000345	regulation of hepatocyte proliferation	2/47	16/18614	0.000732121141016805	0.00479279496787888	0.00236650301609892	PTN/MDK	2
BP	GO:0043627	response to estrogen	3/47	70/18614	0.000733524828041057	0.00479279496787888	0.00236650301609892	GAL/MSTN/HMOX1	3
BP	GO:0050922	negative regulation of chemotaxis	3/47	70/18614	0.000733524828041057	0.00479279496787888	0.00236650301609892	SLIT2/WNT5A/C5	3
BP	GO:0045936	negative regulation of phosphate metabolic process	6/47	439/18614	0.000787524370768369	0.00513048965074099	0.0025332440285707	PDGFA/INHBA/SLIT2/BMP4/MSTN/NTF3	6
BP	GO:0009410	response to xenobiotic stimulus	6/47	440/18614	0.00079690195836655	0.00516122174790032	0.00254841838948244	PDGFA/INHBA/MDK/GAL/HMOX1/VEGFC	6
BP	GO:0010563	negative regulation of phosphorus metabolic process	6/47	440/18614	0.00079690195836655	0.00516122174790032	0.00254841838948244	PDGFA/INHBA/SLIT2/BMP4/MSTN/NTF3	6
BP	GO:0003170	heart valve development	3/47	73/18614	0.000829034236827142	0.00530725674731826	0.00262052501388318	ELN/SLIT2/BMP4	3
BP	GO:0042246	tissue regeneration	3/47	73/18614	0.000829034236827142	0.00530725674731826	0.00262052501388318	PTN/MDK/MSTN	3
BP	GO:0050795	regulation of behavior	3/47	73/18614	0.000829034236827142	0.00530725674731826	0.00262052501388318	MDK/PTGDS/PENK	3
BP	GO:0060415	muscle tissue morphogenesis	3/47	73/18614	0.000829034236827142	0.00530725674731826	0.00262052501388318	FGFR2/WNT5A/TGFBR3	3
BP	GO:0002067	glandular epithelial cell differentiation	3/47	74/18614	0.000862540089379438	0.00549001809763062	0.00271076573764439	FGFR2/WNT5A/BMP4	3
BP	GO:0051145	smooth muscle cell differentiation	3/47	74/18614	0.000862540089379438	0.00549001809763062	0.00271076573764439	FGFR2/EREG/BMP4	3
BP	GO:0002366	leukocyte activation involved in immune response	5/47	296/18614	0.000872979729562569	0.00554054470195155	0.00273571388633844	MDK/CD40LG/TNFSF4/HMOX1/PTGDS	5
BP	GO:0048662	negative regulation of smooth muscle cell proliferation	3/47	75/18614	0.000896894933568982	0.00565989252950227	0.00279464338275056	BMP4/NPR3/HMOX1	3
BP	GO:2000242	negative regulation of reproductive process	3/47	75/18614	0.000896894933568982	0.00565989252950227	0.00279464338275056	WNT5A/BMP4/PTGDS	3
BP	GO:0002262	myeloid cell homeostasis	4/47	171/18614	0.000901430973279037	0.00567235683469621	0.00280079779078026	INHBA/TGFBR3/BMP4/HMOX1	4
BP	GO:0048015	phosphatidylinositol-mediated signaling	4/47	172/18614	0.000921197983216229	0.00574082802225786	0.00283460630396859	PDGFA/TEK/IGF1R/NPR3	4
BP	GO:0002263	cell activation involved in immune response	5/47	300/18614	0.000927023767223689	0.00574082802225786	0.00283460630396859	MDK/CD40LG/TNFSF4/HMOX1/PTGDS	5
BP	GO:0002693	positive regulation of cellular extravasation	2/47	18/18614	0.000930454744916736	0.00574082802225786	0.00283460630396859	IL1R1/MDK	2
BP	GO:0003128	heart field specification	2/47	18/18614	0.000930454744916736	0.00574082802225786	0.00283460630396859	WNT5A/BMP4	2
BP	GO:0032354	response to follicle-stimulating hormone	2/47	18/18614	0.000930454744916736	0.00574082802225786	0.00283460630396859	INHBA/TGFBR3	2
BP	GO:0038128	ERBB2 signaling pathway	2/47	18/18614	0.000930454744916736	0.00574082802225786	0.00283460630396859	EREG/HBEGF	2
BP	GO:0090594	inflammatory response to wounding	2/47	18/18614	0.000930454744916736	0.00574082802225786	0.00283460630396859	MDK/HMOX1	2
BP	GO:0090092	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	5/47	301/18614	0.000940916384254365	0.00578924941978728	0.00285851498023475	INHBA/WNT5A/TGFBR3/BMP4/MSTN	5
BP	GO:0030509	BMP signaling pathway	4/47	176/18614	0.00100333169962584	0.00613917048251724	0.00303129292210308	INHBA/WNT5A/TGFBR3/BMP4	4
BP	GO:0048017	inositol lipid-mediated signaling	4/47	176/18614	0.00100333169962584	0.00613917048251724	0.00303129292210308	PDGFA/TEK/IGF1R/NPR3	4
BP	GO:0046651	lymphocyte proliferation	5/47	306/18614	0.001012723526027	0.00617956641914546	0.00305123892574178	GAL/BMP4/CD40LG/TNFSF4/VCAM1	5
BP	GO:0003184	pulmonary valve morphogenesis	2/47	19/18614	0.0010382481527885	0.00626626609925487	0.00309404798722861	SLIT2/BMP4	2
BP	GO:0010759	positive regulation of macrophage chemotaxis	2/47	19/18614	0.0010382481527885	0.00626626609925487	0.00309404798722861	MDK/MSTN	2
BP	GO:0051797	regulation of hair follicle development	2/47	19/18614	0.0010382481527885	0.00626626609925487	0.00309404798722861	WNT5A/GAL	2
BP	GO:0070242	thymocyte apoptotic process	2/47	19/18614	0.0010382481527885	0.00626626609925487	0.00309404798722861	WNT5A/BMP4	2
BP	GO:0002720	positive regulation of cytokine production involved in immune response	3/47	80/18614	0.0010816977119833	0.0064755687352514	0.00319739380583401	IL1R1/WNT5A/TNFSF4	3
BP	GO:0030500	regulation of bone mineralization	3/47	80/18614	0.0010816977119833	0.0064755687352514	0.00319739380583401	PTN/BMP4/ADRB2	3
BP	GO:0048644	muscle organ morphogenesis	3/47	80/18614	0.0010816977119833	0.0064755687352514	0.00319739380583401	FGFR2/WNT5A/TGFBR3	3
BP	GO:0035265	organ growth	4/47	180/18614	0.00109049445052223	0.00651063398357611	0.00321470771483216	FGF7/FGFR2/TGFBR3/FGFR3	4
BP	GO:0007162	negative regulation of cell adhesion	5/47	312/18614	0.00110419388400921	0.0065747028308613	0.0032463425169371	MDK/PLXND1/CX3CL1/BMP4/TNFSF4	5
BP	GO:0048771	tissue remodeling	4/47	181/18614	0.0011130902970419	0.00660990618752766	0.00326372461867232	PTN/MDK/ADRB2/NPR3	4
BP	GO:0032943	mononuclear cell proliferation	5/47	313/18614	0.00112001672015666	0.0066232733189001	0.00327032480852428	GAL/BMP4/CD40LG/TNFSF4/VCAM1	5
BP	GO:0014855	striated muscle cell proliferation	3/47	81/18614	0.00112132166798534	0.0066232733189001	0.00327032480852428	FGFR2/TGFBR3/MSTN	3
BP	GO:0051546	keratinocyte migration	2/47	20/18614	0.00115175473043603	0.00674903896274025	0.00333242318274308	FGF7/HBEGF	2
BP	GO:0060216	definitive hemopoiesis	2/47	20/18614	0.00115175473043603	0.00674903896274025	0.00333242318274308	TEK/TGFBR3	2
BP	GO:2000251	positive regulation of actin cytoskeleton reorganization	2/47	20/18614	0.00115175473043603	0.00674903896274025	0.00333242318274308	TEK/NTF3	2
BP	GO:0009266	response to temperature stimulus	4/47	183/18614	0.00115926626124214	0.00675730202276668	0.0033365031729379	ADRB2/CD14/MSTN/HMOX1	4
BP	GO:0042129	regulation of T cell proliferation	4/47	183/18614	0.00115926626124214	0.00675730202276668	0.0033365031729379	BMP4/CD40LG/TNFSF4/VCAM1	4
BP	GO:1903131	mononuclear cell differentiation	6/47	474/18614	0.00117079465155221	0.00680658832857778	0.00336083890858611	INHBA/MDK/BMP4/CD40LG/TNFSF4/VCAM1	6
BP	GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling	3/47	83/18614	0.00120329757662357	0.00696093630875148	0.00343705017217193	PDGFA/TEK/IGF1R	3
BP	GO:0032640	tumor necrosis factor production	4/47	185/18614	0.00120677180251041	0.00696093630875148	0.00343705017217193	WNT5A/CX3CL1/TLR1/CD14	4
BP	GO:0032680	regulation of tumor necrosis factor production	4/47	185/18614	0.00120677180251041	0.00696093630875148	0.00343705017217193	WNT5A/CX3CL1/TLR1/CD14	4
BP	GO:0021700	developmental maturation	5/47	319/18614	0.00121852179823387	0.00701045657944944	0.00346150143093642	WNT5A/GAL/CX3CL1/EREG/FGFR3	5
BP	GO:0043405	regulation of MAP kinase activity	4/47	186/18614	0.00123102961857472	0.00703529902622103	0.00347376770262262	PDGFA/WNT5A/BMP4/NTF3	4
BP	GO:0042063	gliogenesis	5/47	320/18614	0.00123554445525823	0.00703529902622103	0.00347376770262262	PTN/MDK/CX3CL1/VEGFC/PENK	5
BP	GO:0060485	mesenchyme development	5/47	320/18614	0.00123554445525823	0.00703529902622103	0.00347376770262262	FGFR2/MDK/WNT5A/TGFBR3/BMP4	5
BP	GO:0061564	axon development	6/47	479/18614	0.00123554461453724	0.00703529902622103	0.00347376770262262	PTN/FGFR2/SLIT2/WNT5A/PLXND1/IGF1R	6
BP	GO:0008217	regulation of blood pressure	4/47	187/18614	0.00125562757250549	0.00709493641096854	0.00350321441416006	ADRB2/NPR3/HMOX1/VEGFC	4
BP	GO:0071772	response to BMP	4/47	187/18614	0.00125562757250549	0.00709493641096854	0.00350321441416006	INHBA/WNT5A/TGFBR3/BMP4	4
BP	GO:0071773	cellular response to BMP stimulus	4/47	187/18614	0.00125562757250549	0.00709493641096854	0.00350321441416006	INHBA/WNT5A/TGFBR3/BMP4	4
BP	GO:0030728	ovulation	2/47	21/18614	0.00127094617922167	0.00716322083199998	0.00353693070901651	INHBA/EREG	2
BP	GO:0010660	regulation of muscle cell apoptotic process	3/47	85/18614	0.00128896342287995	0.00724632990273881	0.00357796686180141	MDK/IGF1R/HMOX1	3
BP	GO:0071706	tumor necrosis factor superfamily cytokine production	4/47	190/18614	0.00133148805440594	0.00744759101138674	0.00367734207476812	WNT5A/CX3CL1/TLR1/CD14	4
BP	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	4/47	190/18614	0.00133148805440594	0.00744759101138674	0.00367734207476812	WNT5A/CX3CL1/TLR1/CD14	4
BP	GO:0051251	positive regulation of lymphocyte activation	5/47	327/18614	0.00135969170147584	0.00758618921604278	0.00374577668787855	MDK/MAP3K8/CD40LG/TNFSF4/VCAM1	5
BP	GO:0002440	production of molecular mediator of immune response	5/47	328/18614	0.00137815331596252	0.00763278657878185	0.00376878472394171	IL1R1/WNT5A/CD40LG/TNFSF4/HMOX1	5
BP	GO:0032092	positive regulation of protein binding	3/47	87/18614	0.00137838132348205	0.00763278657878185	0.00376878472394171	WNT5A/PLXND1/BMP4	3
BP	GO:0048145	regulation of fibroblast proliferation	3/47	87/18614	0.00137838132348205	0.00763278657878185	0.00376878472394171	PDGFA/WNT5A/EREG	3
BP	GO:0048839	inner ear development	4/47	193/18614	0.00141050258993054	0.00779118014138687	0.00384699354492145	PDGFA/FGFR2/WNT5A/BMP4	4
BP	GO:0021675	nerve development	3/47	88/18614	0.0014245163913586	0.00782953798228114	0.00386593321306409	ACKR3/NTF3/VCAM1	3
BP	GO:0046849	bone remodeling	3/47	88/18614	0.0014245163913586	0.00782953798228114	0.00386593321306409	PTN/MDK/ADRB2	3
BP	GO:0071902	positive regulation of protein serine/threonine kinase activity	4/47	195/18614	0.00146496552755405	0.00803192733547578	0.00396586551101786	PDGFA/WNT5A/ADRB2/NTF3	4
BP	GO:0007369	gastrulation	4/47	196/18614	0.00149274068521469	0.00816400152530998	0.00403107880945566	INHBA/FGFR2/WNT5A/BMP4	4
BP	GO:0010657	muscle cell apoptotic process	3/47	90/18614	0.00151967633374875	0.00820555890328101	0.00405159828941854	MDK/IGF1R/HMOX1	3
BP	GO:0060395	SMAD protein signal transduction	3/47	90/18614	0.00151967633374875	0.00820555890328101	0.00405159828941854	INHBA/BMP4/MSTN	3
BP	GO:0002689	negative regulation of leukocyte chemotaxis	2/47	23/18614	0.00152627100142292	0.00820555890328101	0.00405159828941854	SLIT2/C5	2
BP	GO:0003177	pulmonary valve development	2/47	23/18614	0.00152627100142292	0.00820555890328101	0.00405159828941854	SLIT2/BMP4	2
BP	GO:0072574	hepatocyte proliferation	2/47	23/18614	0.00152627100142292	0.00820555890328101	0.00405159828941854	PTN/MDK	2
BP	GO:0072575	epithelial cell proliferation involved in liver morphogenesis	2/47	23/18614	0.00152627100142292	0.00820555890328101	0.00405159828941854	PTN/MDK	2
BP	GO:2000178	negative regulation of neural precursor cell proliferation	2/47	23/18614	0.00152627100142292	0.00820555890328101	0.00405159828941854	PTN/WNT5A	2
BP	GO:0060021	roof of mouth development	3/47	91/18614	0.00156871602500201	0.00841333170794056	0.00415418873448984	INHBA/WNT5A/TGFBR3	3
BP	GO:0055006	cardiac cell development	3/47	92/18614	0.00161873862391783	0.008660642637628	0.00427630162789378	INHBA/TGFBR3/BMP4	3
BP	GO:0001759	organ induction	2/47	24/18614	0.00166234828239054	0.00880885513276326	0.00434948341829204	WNT5A/BMP4	2
BP	GO:0003323	type B pancreatic cell development	2/47	24/18614	0.00166234828239054	0.00880885513276326	0.00434948341829204	WNT5A/BMP4	2
BP	GO:0034695	response to prostaglandin E	2/47	24/18614	0.00166234828239054	0.00880885513276326	0.00434948341829204	TGFBR3/TNFSF4	2
BP	GO:0072576	liver morphogenesis	2/47	24/18614	0.00166234828239054	0.00880885513276326	0.00434948341829204	PTN/MDK	2
BP	GO:0019216	regulation of lipid metabolic process	5/47	344/18614	0.00169948062708316	0.00898412789734894	0.00443602655832033	PDGFA/TEK/GAL/IGF1R/FGFR3	5
BP	GO:0090287	regulation of cellular response to growth factor stimulus	5/47	345/18614	0.00172124391359433	0.00907751254431297	0.00448213640657772	SLIT2/WNT5A/TGFBR3/BMP4/VEGFC	5
BP	GO:2000241	regulation of reproductive process	4/47	206/18614	0.00179103876458846	0.00937994394714193	0.00463146572939549	INHBA/WNT5A/BMP4/PTGDS	4
BP	GO:0003148	outflow tract septum morphogenesis	2/47	25/18614	0.00180399824897628	0.00937994394714193	0.00463146572939549	FGFR2/BMP4	2
BP	GO:0045662	negative regulation of myoblast differentiation	2/47	25/18614	0.00180399824897628	0.00937994394714193	0.00463146572939549	BMP4/MSTN	2
BP	GO:0048714	positive regulation of oligodendrocyte differentiation	2/47	25/18614	0.00180399824897628	0.00937994394714193	0.00463146572939549	PTN/MDK	2
BP	GO:0050927	positive regulation of positive chemotaxis	2/47	25/18614	0.00180399824897628	0.00937994394714193	0.00463146572939549	NTF3/VEGFC	2
BP	GO:2000291	regulation of myoblast proliferation	2/47	25/18614	0.00180399824897628	0.00937994394714193	0.00463146572939549	FGF7/MSTN	2
BP	GO:0045807	positive regulation of endocytosis	3/47	96/18614	0.0018288017310582	0.00946447624835024	0.00467320462019052	WNT5A/CD14/NTF3	3
BP	GO:0048477	oogenesis	3/47	96/18614	0.0018288017310582	0.00946447624835024	0.00467320462019052	PTN/MDK/EREG	3
BP	GO:0097306	cellular response to alcohol	3/47	98/18614	0.00193991552983886	0.00995827817667733	0.00491702555569336	INHBA/IGF1R/TNFSF4	3
BP	GO:0002726	positive regulation of T cell cytokine production	2/47	26/18614	0.00195119310549795	0.00995827817667733	0.00491702555569336	IL1R1/TNFSF4	2
BP	GO:0006929	substrate-dependent cell migration	2/47	26/18614	0.00195119310549795	0.00995827817667733	0.00491702555569336	SLIT2/VEGFC	2
BP	GO:0050926	regulation of positive chemotaxis	2/47	26/18614	0.00195119310549795	0.00995827817667733	0.00491702555569336	NTF3/VEGFC	2
BP	GO:0060343	trabecula formation	2/47	26/18614	0.00195119310549795	0.00995827817667733	0.00491702555569336	TEK/TGFBR3	2
BP	GO:0062009	secondary palate development	2/47	26/18614	0.00195119310549795	0.00995827817667733	0.00491702555569336	WNT5A/TGFBR3	2
BP	GO:0045619	regulation of lymphocyte differentiation	4/47	212/18614	0.00198864396225644	0.0101221808399349	0.00499795456466311	INHBA/MDK/BMP4/TNFSF4	4
BP	GO:0060349	bone morphogenesis	3/47	99/18614	0.0019970171679691	0.0101221808399349	0.00499795456466311	FGFR2/BMP4/FGFR3	3
BP	GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	3/47	99/18614	0.0019970171679691	0.0101221808399349	0.00499795456466311	CX3CL1/BMP4/HMOX1	3
BP	GO:0042098	T cell proliferation	4/47	213/18614	0.00202298678035461	0.0102304011837568	0.00505138972551896	BMP4/CD40LG/TNFSF4/VCAM1	4
BP	GO:0031954	positive regulation of protein autophosphorylation	2/47	27/18614	0.00210390515593159	0.0105195257796579	0.00519414864444082	PDGFA/VEGFC	2
BP	GO:0032753	positive regulation of interleukin-4 production	2/47	27/18614	0.00210390515593159	0.0105195257796579	0.00519414864444082	CD40LG/TNFSF4	2
BP	GO:0032967	positive regulation of collagen biosynthetic process	2/47	27/18614	0.00210390515593159	0.0105195257796579	0.00519414864444082	INHBA/BMP4	2
BP	GO:0035929	steroid hormone secretion	2/47	27/18614	0.00210390515593159	0.0105195257796579	0.00519414864444082	INHBA/GAL	2
BP	GO:0071549	cellular response to dexamethasone stimulus	2/47	27/18614	0.00210390515593159	0.0105195257796579	0.00519414864444082	IGF1R/MSTN	2
BP	GO:0070167	regulation of biomineral tissue development	3/47	101/18614	0.00211434370182192	0.0105479083322873	0.00520816288808197	PTN/BMP4/ADRB2	3
BP	GO:0008585	female gonad development	3/47	102/18614	0.0021745819092203	0.0108240425369055	0.00534450763732677	INHBA/SLIT2/EREG	3
BP	GO:0032677	regulation of interleukin-8 production	3/47	103/18614	0.00223587884086021	0.0110793548825623	0.00547057133086956	WNT5A/TLR1/CD14	3
BP	GO:0048144	fibroblast proliferation	3/47	103/18614	0.00223587884086021	0.0110793548825623	0.00547057133086956	PDGFA/WNT5A/EREG	3
BP	GO:0010038	response to metal ion	5/47	367/18614	0.00225390018987032	0.0110853242698668	0.00547351879120428	WNT5A/CD14/HMOX1/VCAM1/PENK	5
BP	GO:0010714	positive regulation of collagen metabolic process	2/47	28/18614	0.00226210680360262	0.0110853242698668	0.00547351879120428	INHBA/BMP4	2
BP	GO:0031664	regulation of lipopolysaccharide-mediated signaling pathway	2/47	28/18614	0.00226210680360262	0.0110853242698668	0.00547351879120428	CX3CL1/CD14	2
BP	GO:0042634	regulation of hair cycle	2/47	28/18614	0.00226210680360262	0.0110853242698668	0.00547351879120428	WNT5A/GAL	2
BP	GO:0048679	regulation of axon regeneration	2/47	28/18614	0.00226210680360262	0.0110853242698668	0.00547351879120428	PTN/IGF1R	2
BP	GO:0032637	interleukin-8 production	3/47	104/18614	0.00229824098730093	0.0112375359533589	0.00554867523133652	WNT5A/TLR1/CD14	3
BP	GO:0071900	regulation of protein serine/threonine kinase activity	5/47	369/18614	0.0023076696155585	0.0112583949895128	0.00555897464374662	PDGFA/WNT5A/BMP4/ADRB2/NTF3	5
BP	GO:0043583	ear development	4/47	221/18614	0.0023126725599225	0.0112583949895128	0.00555897464374662	PDGFA/FGFR2/WNT5A/BMP4	4
BP	GO:0032760	positive regulation of tumor necrosis factor production	3/47	105/18614	0.00236167477359671	0.0114466293731219	0.00565191774678564	WNT5A/TLR1/CD14	3
BP	GO:0042102	positive regulation of T cell proliferation	3/47	105/18614	0.00236167477359671	0.0114466293731219	0.00565191774678564	CD40LG/TNFSF4/VCAM1	3
BP	GO:0002052	positive regulation of neuroblast proliferation	2/47	29/18614	0.00242577055087778	0.0115569961926532	0.00570641275711852	CX3CL1/VEGFC	2
BP	GO:0003156	regulation of animal organ formation	2/47	29/18614	0.00242577055087778	0.0115569961926532	0.00570641275711852	WNT5A/BMP4	2
BP	GO:0003416	endochondral bone growth	2/47	29/18614	0.00242577055087778	0.0115569961926532	0.00570641275711852	FGFR2/FGFR3	2
BP	GO:0010996	response to auditory stimulus	2/47	29/18614	0.00242577055087778	0.0115569961926532	0.00570641275711852	PTN/MDK	2
BP	GO:0060441	epithelial tube branching involved in lung morphogenesis	2/47	29/18614	0.00242577055087778	0.0115569961926532	0.00570641275711852	FGFR2/BMP4	2
BP	GO:0072012	glomerulus vasculature development	2/47	29/18614	0.00242577055087778	0.0115569961926532	0.00570641275711852	TEK/BMP4	2
BP	GO:1904385	cellular response to angiotensin	2/47	29/18614	0.00242577055087778	0.0115569961926532	0.00570641275711852	INHBA/IGF1R	2
BP	GO:0046545	development of primary female sexual characteristics	3/47	106/18614	0.00242618655963148	0.0115569961926532	0.00570641275711852	INHBA/SLIT2/EREG	3
BP	GO:1901653	cellular response to peptide	5/47	375/18614	0.00247460960925901	0.0117623611255552	0.00580781428511432	INHBA/ADRB2/IGF1R/MSTN/VCAM1	5
